date,self_built,rqalpha_align,rqalpha_full
2018-08-06,1580938.244957635,1538713.9328,1480415.0075
2018-08-07,1613268.3985019487,1567051.7028,1507708.2475
2018-08-08,1602400.2500958152,1557413.2428,1498423.5475
2018-08-09,1616557.0699609253,1569998.8928,1510552.7675
2018-08-10,1615316.3758020878,1569035.0128,1509592.8175
2018-08-13,1615215.7809989296,1568804.1228,1509404.3375
2018-08-14,1618093.8450248793,1571339.4328,1511846.1775
2018-08-15,1596738.4319051928,1552640.3628,1493874.9575
2018-08-16,1588251.4171573443,1545263.0282,1486819.9236
2018-08-17,1572494.984312451,1531499.9382,1473569.3736
2018-08-20,1579751.1877087166,1537853.258,1479750.543
2018-08-21,1599339.2591966328,1554883.158,1496129.463
2018-08-22,1592757.6968456202,1549122.438,1490561.303
2018-08-23,1593468.2439729937,1549803.748,1491218.973
2018-08-24,1595860.31871446,1551859.598,1493176.173
2018-08-27,1617694.5407990182,1570948.748,1511543.563
2018-08-28,1621326.43774388,1573952.8047,1514388.4735
2018-08-29,1615452.7104172765,1568844.4747,1509435.7435
2018-08-30,1602777.1117660212,1557416.7647,1498410.5735
2018-08-31,1605728.5627009359,1559818.1047,1500704.5035
2018-09-03,1600941.623585823,1555610.4647,1496672.7135
2018-09-04,1613165.3710840251,1566812.0995,1506443.5159
2018-09-05,1596727.5970308376,1551576.4995,1491799.5059
2018-09-06,1592831.4705339961,1548236.7795,1488579.0259
2018-09-07,1593456.7576188608,1548807.8895,1489134.5959
2018-09-10,1582427.4628326464,1538812.7095,1479500.8859
2018-09-11,1577799.839901453,1534489.5195,1475362.7359
2018-09-12,1580408.1211664102,1537012.7995,1477784.1159
2018-09-13,1590662.6439032883,1546401.2995,1486805.7059
2018-09-14,1588210.5782012958,1544013.1995,1484515.7159
2018-09-17,1578780.701297953,1535177.5695,1476028.5359
2018-09-18,1595673.9264415486,1550837.6095,1491078.5059
2018-09-19,1604262.7974067735,1558822.0095,1498766.3559
2018-09-20,1605460.2609676048,1559788.8295,1499679.0759
2018-09-21,1634625.6443384602,1586674.4695,1525518.4859
2018-09-25,1624773.2491368523,1577510.0395,1516722.1759
2018-09-26,1633045.0676661895,1585134.3395,1524058.6459
2018-09-27,1632143.2966305683,1584086.5695,1523042.4759
2018-09-28,1647571.1584846766,1598318.6795,1536720.9059
2018-10-08,1609268.743366469,1562797.8095,1502574.9159
2018-10-09,1607482.3684326427,1561218.1285,1500299.6275
2018-10-10,1614634.9523263057,1567823.8085,1506649.2475
2018-10-11,1534327.7245035616,1492457.9285,1434310.8275
2018-10-12,1526008.9665440177,1484001.4085,1426178.6475
2018-10-15,1510193.1573822775,1469186.1685,1411951.9875
2018-10-16,1493011.4730742152,1453388.5285,1396749.7275
2018-10-17,1493993.8672445293,1454613.0885,1397842.7675
2018-10-18,1443068.3523661376,1407796.9685,1352837.1875
2018-10-19,1461242.299954085,1424737.0885,1369051.7675
