date,strategy_nav,benchmark_nav
2013-10-25,804499.4502989346,788422.9703149587
2013-10-28,810888.3984921015,787555.8431555042
2013-10-29,809933.7811930605,789586.019180653
2013-10-30,828371.4763433828,801375.6198461275
2013-10-31,819929.3167419946,790140.2482480203
2013-11-01,821437.5249358409,793882.3762812595
2013-11-04,820706.108747485,792382.4626611052
2013-11-05,820425.6800286595,793485.9277411787
2013-11-06,817222.6025896819,783432.9114867887
2013-11-07,823004.1153826416,779100.2715223125
2013-11-08,817083.4137218181,768246.3693003034
2013-11-11,815709.8484367322,770890.6910487514
2013-11-12,819192.7886991333,778916.527110789
2013-11-13,805299.4873987694,761645.8839088163
2013-11-14,804782.4313604888,767099.9639501454
2013-11-15,814048.3934839251,782489.5570261766
2013-11-18,834180.0949227461,808509.6963457165
2013-11-19,830126.5273156377,802937.4473440778
2013-11-20,834295.2886906231,807160.5729763233
2013-11-21,834872.8551955937,802213.7872885484
2013-11-22,833994.1087654802,798210.3560613854
2013-11-25,827526.4115672547,795103.6774513319
2013-11-26,825312.8426730823,794699.9057644152
2013-11-27,830914.7970976712,803709.0407243526
2013-11-28,839479.0508535511,812047.109137856
2013-11-29,838069.3610416711,811852.0471357675
2013-12-02,845772.2166208851,805142.7131526713
2013-12-03,849161.47546074,813130.269128975
2013-12-04,856566.1697897513,823898.956551437
2013-12-05,854891.0221617091,821589.5023355846
2013-12-06,852825.8062072255,816293.5356918526
2013-12-09,848976.9093810687,815822.5242021682
2013-12-10,849677.6148522499,816638.0564634594
2013-12-11,836691.5432375517,803137.1695305164
2013-12-12,833716.691259135,802222.4419166272
2013-12-13,826098.5954356224,801098.6717475991
2013-12-16,814351.5830272492,788211.2647973336
2013-12-17,813542.6998301141,784367.6113193217
2013-12-18,812529.4182797899,784650.5510834431
2013-12-19,807267.8267092899,776390.0414523399
2013-12-20,786386.5557863493,758323.8382077197
2013-12-23,788100.7208876429,760476.1776369071
2013-12-24,789721.8656798179,761689.8227898327
2013-12-25,793777.7010894925,767302.6819693807
2013-12-26,785568.905674483,754062.4324897402
2013-12-27,792589.6697413813,766759.4376222675
2013-12-30,789109.4080217431,765421.2989731285
2013-12-31,794906.9269153873,775596.4786315568
2014-01-02,791812.6584726062,772917.538370793
2014-01-03,782814.4741202242,762532.3175462931
2014-01-06,762914.2953258489,745175.7938041519
2014-01-07,760353.3180256807,744964.088286527
2014-01-08,754206.1551754908,746265.6112014855
2014-01-09,745245.0210380782,739711.3947831899
2014-01-10,742964.0866201128,733929.4374857907
2014-01-13,751143.3571764469,730210.6103743028
2014-01-14,754853.8268195861,736590.7356200858
2014-01-15,749503.701771608,735290.8770566809
2014-01-16,750120.0657756375,736257.1995687332
2014-01-17,741787.9127340422,725153.9774839864
2014-01-20,739597.4802991095,720994.7629514013
2014-01-21,745106.359110339,728123.8463963295
2014-01-22,757752.4151661104,746893.0717372135
2014-01-23,752162.384962113,742929.5849473383
2014-01-24,755977.7251606835,747519.5336620095
2014-01-27,747195.6179541239,737613.6460849625
2014-01-28,751781.2456834136,738923.8236280001
2014-01-29,754017.9763290317,741562.1537108548
2014-01-30,746850.5712296879,733130.2158697251
2014-02-07,748089.3866679042,736469.9036972905
2014-02-10,756399.4318730012,754794.7471733486
2014-02-11,765803.1908124316,760795.733135209
2014-02-12,763850.9227768683,762687.7679814046
2014-02-13,765747.4717170723,758795.8483083366
2014-02-14,767160.2606621365,764128.7635565595
2014-02-17,767199.0479133658,769478.6551906299
2014-02-18,757261.2334431837,759757.177765728
2014-02-19,775952.865947152,768483.0400912331
2014-02-20,773969.7406180628,761419.5320975191
2014-02-21,763500.931341691,753716.2473665797
2014-02-24,747309.6862940246,737144.2989468316
2014-02-25,740200.421208573,718303.8393594511
2014-02-26,741953.7813853237,720133.2945872293
2014-02-27,745068.1845649435,717038.5993083622
2014-02-28,744872.0269649079,725314.7538440697
2014-03-03,747226.3162312479,729109.1425160934
2014-03-04,744755.1514051958,727079.632231566
2014-03-05,739565.6329199577,720323.3635346567
2014-03-06,741420.5958581769,723538.2249956977
2014-03-07,740694.7006661558,721782.0012362804
2014-03-10,719547.755262534,698291.0105376753
2014-03-11,721439.1608722695,701910.6422965656
2014-03-12,723723.9539667881,703732.4415071969
2014-03-13,729946.8817994315,712453.3107780411
2014-03-14,726614.9654094375,706629.0789511789
2014-03-17,732448.9779691339,713353.7249685688
2014-03-18,730845.8526706799,711720.9960944327
2014-03-19,731866.7429443318,705974.6559202815
2014-03-20,726830.2621767931,694689.3537755649
2014-03-21,745365.5421224628,718599.7610656909
2014-03-24,759170.8373812839,724510.2063030326
2014-03-25,757943.5845918538,723806.518466147
2014-03-26,754287.8608377991,722677.0895018363
2014-03-27,752422.0862708326,717570.8589352211
2014-03-28,755333.1663611856,716325.2582324654
2014-03-31,754089.6975390837,714441.2122737273
2014-04-01,757650.354163937,720036.7621971171
2014-04-02,761222.8633179193,725899.2741097135
2014-04-03,754290.1198754803,720666.8856953311
2014-04-04,759095.1806211165,727478.7437341326
2014-04-08,769959.3966966722,744736.072123676
2014-04-09,771147.3839641561,745170.1350088693
2014-04-10,782963.4946071225,756867.5305982712
2014-04-11,781413.7327119451,755837.2969865585
2014-04-14,780201.8990316419,755153.9142386274
2014-04-15,770450.8829789493,742122.0415735047
2014-04-16,771070.8101103469,743141.623335274
2014-04-17,770977.0247738131,740570.8659254977
2014-04-18,769089.7680671333,740463.0159448208
2014-04-21,758299.278708829,728069.9214059911
2014-04-22,759247.3154555315,731247.8342625409
2014-04-23,756592.397651177,730539.8191116158
2014-04-24,754080.9450914194,729143.7610284096
2014-04-25,750826.0899278113,721604.9142309714
2014-04-28,740637.0881482558,710667.7944312795
2014-04-29,742893.9859690504,718490.5796037712
2014-04-30,745722.8090181352,718553.4920924994
2014-05-05,746687.7080769897,717824.838982309
2014-05-06,747435.4788726859,718110.4417089162
2014-05-07,743024.9382084155,711449.0410505653
2014-05-08,744885.0852305875,710843.2170850348
2014-05-09,746589.9535018837,710315.6176425259
2014-05-12,760526.3435553027,725675.2523905914
2014-05-13,757291.9813556921,723943.6610341682
2014-05-14,757700.737715695,723118.142663555
2014-05-15,751759.0765088826,713701.9073135935
2014-05-16,753577.934143571,714323.7090540393
2014-05-19,749813.2329670847,704068.3076507245
2014-05-20,750690.0126957917,704277.3502058638
2014-05-21,755309.628723677,710979.3610421239
2014-05-22,754127.8349900068,709302.6932869712
2014-05-23,757674.1457899717,715143.2357590592
2014-05-26,756215.7822140874,717660.4010488079
2014-05-27,754738.9300886646,714765.7608266902
2014-05-28,758851.4706083669,722112.874325147
2014-05-29,756555.0287846604,717390.1103564942
2014-05-30,754914.3142392605,717822.8417604447
2014-06-03,756142.4116815155,715643.8727063988
2014-06-04,750728.599470249,708439.2277009347
2014-06-05,756815.8463534387,715871.5559989389
2014-06-06,752541.42206086,710583.5782426645
2014-06-09,753864.9106422754,710438.7796574965
2014-06-10,760209.45635862,719421.9507331968
2014-06-11,759394.4026148892,719254.8498372099
2014-06-12,758293.9740842,716806.2558314718
2014-06-13,765193.9697448988,724406.3507660845
2014-06-16,771316.5971392805,729603.4549275292
2014-06-17,765526.9980806832,722220.0585652025
2014-06-18,760549.2544750558,719079.4271834545
2014-06-19,753477.9680616163,707984.1939861653
2014-06-20,757068.5345880418,711253.6461781661
2014-06-23,754165.9148935775,710381.8588343614
2014-06-24,757133.7246847943,713947.2327326023
2014-06-25,755392.404538046,710135.8676747313
2014-06-26,758355.6072171155,715363.5959047632
2014-06-27,757768.4576611272,715757.0486120472
2014-06-30,761378.7148899798,720703.5014295116
2014-07-01,761750.3716489845,720517.426925813
2014-07-02,763037.7156510423,722617.1728459047
2014-07-03,769783.4515875904,725721.1884934723
2014-07-04,769714.3404429102,725222.8816383078
2014-07-07,769823.9966394878,724421.9956706889
2014-07-08,771364.0367479086,725814.7250507877
2014-07-09,762589.733147971,715241.7653710357
2014-07-10,763942.8068575262,713290.1467392192
2014-07-11,767806.0022407257,715008.4232832132
2014-07-14,772616.6483556549,722913.7602927662
2014-07-15,776933.3507005273,723984.936952699
2014-07-16,787385.6253481822,722617.5057162155
2014-07-17,781097.2878955407,718023.8954281263
2014-07-18,783351.9133449893,720379.2857468594
2014-07-21,780779.3049451751,721095.2897852422
2014-07-22,785524.8477500153,729884.0645994755
2014-07-23,786703.133738201,731593.3536450798
2014-07-24,801571.8282871504,744635.8781601458
2014-07-25,808195.2330455936,752438.0253733725
2014-07-28,832551.0876467985,773556.3164970858
2014-07-29,838425.4999833263,776043.5234588688
2014-07-30,836917.8223119247,772928.5230910471
2014-07-31,848348.4354484839,782328.7806660936
2014-08-01,839660.5881086242,775388.7675576607
2014-08-04,850398.6847988609,790773.3675790309
2014-08-05,851592.4478661217,788687.269341679
2014-08-06,855163.1675097509,786646.1085962759
2014-08-07,845640.6915963566,774741.3348032887
2014-08-08,846926.8585938069,775965.298935847
2014-08-11,856958.2270317222,787354.4566175118
2014-08-12,856193.5866024249,784592.6316493759
2014-08-13,853284.2846661463,785208.1088539176
2014-08-14,848084.3240416605,777566.7380007744
2014-08-15,852930.6838397702,785785.3059727255
2014-08-18,856872.4733977717,790421.1907902774
2014-08-19,858861.4607458967,790489.7620742881
2014-08-20,860204.4041190804,787617.7570333
2014-08-21,853459.0986531981,783657.9318168429
2014-08-22,858678.4559183144,787359.4496721728
2014-08-25,858076.8586865584,779869.5348104121
2014-08-26,846077.7835910718,773621.2262076786
2014-08-27,845677.4487913363,774787.2709061695
2014-08-28,843677.0421461163,769355.8260459701
2014-08-29,848465.0819472846,778346.3202685064
2014-09-01,856447.8366418565,784015.1016602573
2014-09-02,866995.4191855047,794381.6817473561
2014-09-03,875062.1375015347,801830.6535608969
2014-09-04,881997.1666743987,807617.9367832679
2014-09-05,892431.1435102724,815285.6043909589
2014-09-09,890753.1052057778,813942.472687159
2014-09-10,885820.880605903,809684.7285425973
2014-09-11,883351.0718477807,806695.8860225427
2014-09-12,889528.8431399906,811656.9851336791
2014-09-15,890133.9348723463,811267.8597404343
2014-09-16,887348.0765169993,795148.9478135913
2014-09-17,891774.0237424172,799330.1317866847
2014-09-18,893026.893576013,801772.7341268297
2014-09-19,898478.7188255647,807280.7391584972
2014-09-22,884230.1671994807,791871.8396044436
2014-09-23,886750.427986668,798709.661527482
2014-09-24,898698.7418523813,812824.0284431024
2014-09-25,899900.971792577,811193.2967908308
2014-09-26,899269.9347679437,811271.8541841633
2014-09-29,900748.2628261755,814799.6137372915
2014-09-30,905086.2886054317,815861.137158213
2014-10-08,910548.7420451462,824980.1193206916
2014-10-09,910708.3121293499,826169.1320706231
2014-10-10,904688.2591430102,821120.8209380753
2014-10-13,897434.867656052,817178.6378480867
2014-10-14,894387.1144141846,814387.8531629171
2014-10-15,900731.4621679559,820150.503982294
2014-10-16,901040.3041328528,813666.5231995628
2014-10-17,897615.956915464,812780.0895620858
2014-10-20,900911.5743800744,817100.4133250648
2014-10-21,898116.9284170882,810003.6183002777
2014-10-22,896882.2595402565,805093.7812169939
2014-10-23,892726.5420977979,797535.9608118442
2014-10-24,890860.7102608752,795795.0490867204
2014-10-27,881974.6046143192,788513.8439097882
2014-10-28,897680.424401599,804432.0350392604
2014-10-29,912354.6850912031,815992.9538012624
2014-10-30,929771.2073791377,821831.8319217969
2014-10-31,947859.0887360328,834946.9221646024
2014-11-03,946586.9745772027,836352.6334868199
2014-11-04,946024.542806774,836560.3445607162
2014-11-05,938374.6145381277,833323.5136591668
2014-11-06,939621.0689217906,834195.3010029716
2014-11-07,936449.1494364579,832892.4466067699
2014-11-10,959702.2870744524,854055.3423521216
2014-11-11,972541.1192351694,851685.9714803377
2014-11-12,972322.768546391,863571.4387953025
2014-11-13,969225.5018863595,858722.1841085717
2014-11-14,973476.8928800432,859169.2289358835
2014-11-17,966494.8045156675,854511.707548134
2014-11-18,956797.351314857,845961.9336170056
2014-11-19,954756.2911885446,844566.2084041099
2014-11-20,950919.1380191261,844524.9324855794
2014-11-21,959443.7965755945,859955.4686098304
2014-11-24,965008.4645793333,881859.3336668694
2014-11-25,976638.1437474645,893943.5245573408
2014-11-26,987897.1870512753,906411.8477863958
2014-11-27,994380.5675073105,916887.9422057251
2014-11-28,1029145.6451440874,934972.4533174355
2014-12-01,1034840.6933697914,938631.6966433024
2014-12-02,1046043.4941778721,973292.8163591112
2014-12-03,1064224.7542621188,987808.957739784
2014-12-04,1091174.7737772074,1033346.281988421
2014-12-05,1076306.8936687366,1040181.4409489734
2014-12-08,1092322.2686976437,1082787.509241312
2014-12-09,1072913.8361122885,1034199.095724514
2014-12-10,1107077.0931717772,1072357.0180545528
2014-12-11,1101659.6537000726,1059530.1935008406
2014-12-12,1107386.3629907903,1062930.4637249585
2014-12-15,1110883.3902850607,1070919.684052816
2014-12-16,1104425.2662058976,1099604.4502097585
2014-12-17,1093912.5195680293,1118643.3005023347
2014-12-18,1094700.153451264,1113759.7601735988
2014-12-19,1094716.9183354452,1126155.850545225
2014-12-22,1084304.931089856,1129921.9452408368
2014-12-23,1074165.0367480475,1106768.485037313
2014-12-24,1077002.2274280672,1075299.2587311051
2014-12-25,1089959.1728761294,1110261.9589484362
2014-12-26,1096296.7979557298,1147017.4986593649
2014-12-29,1094049.416792675,1150218.3795673554
2014-12-30,1087632.751173064,1150917.0743495799
2014-12-31,1101273.507499284,1176265.4813820643
2015-01-05,1149113.13546794,1212160.884210064
2015-01-06,1183044.7492027315,1212000.4407202916
2015-01-07,1175454.7937201727,1212909.5095388982
2015-01-08,1177864.0292841673,1184771.6493024868
